Timestamp,Team Number,Match Number,Crosses the auto line (auto-run),Switch capabilities,Scale capabilities,Number of cubes in auton,Number of Cubes on Own Switch,Number of Cubes on Scale,Number of Cubes in Exchange,Climb,Played Good Defense,Extra Notes,Number of Cubes on Opponent's Switch
3/16/2018 19:16,5548,50,Yes,No,No,0,0,4,0,Parked,No,,0
3/16/2018 19:16,5567,50,Yes,No,No,0,1,0,9,Yes,Yes,,0
3/17/2018 9:39,5567,62,Yes,No,No,0,1,0,9,Parked,Yes,,0
3/16/2018 17:25,5567,36,Yes,No,No,0,1,0,7,Parked,No,,0
3/16/2018 12:55,5567,13,Yes,Same side,No,1,2,0,6,Yes,No,Bumper fell off,0
3/16/2018 15:00,5567,20,No,Same side,No,1,0,0,6,Parked,No,,0
3/16/2018 11:36,5567,4,Yes,No,No,0,0,0,4,No,No,Arms broken: stayed in top resting position,0
3/16/2018 18:04,5567,40,Yes,Same side,No,1,1,0,3,Yes,Yes,"Can’t reach scale, but effective ",4
3/16/2018 15:44,5567,25,Yes,No,No,0,0,0,2,Yes,No,,3
3/17/2018 10:15,5567,67,Yes,No,No,1,3,0,2,No,Yes,,2
3/16/2018 20:14,5567,59,Yes,From center,No,1,0,0,0,Parked,No,,6
3/16/2018 12:23,5708,9,Yes,No,No,0,0,0,2,No,No,Grabber's pool noodle feel off mid-match,0
3/16/2018 19:52,5708,55,Yes,No,No,0,1,0,1,Parked,No,,0
3/16/2018 11:44,5708,5,Yes,No,No,0,1,0,0,Parked,No,Not good robot. Struggles with any form of cube manipulation ,0
3/16/2018 13:04,5708,14,Yes,No,No,0,0,0,0,No,No,"It was not moving at all
think it broke
",0
